scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
193,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1[C@@H]2CCC[C@H]1CC2,3,0,3,0.0,1.0,6.483,6.913,1.777,0.964,10.61,18.662,False
194,O=C(c1ccc2cc(-c3cc4ccnc(OCCn5cncn5)c4n3CC3CC3)nn2c1)N1CCCCC1,3,0,3,0.0,1.0,6.949,6.959,1.156,0.578,3.85,6.258,False
195,O=C(c1ccc2c(c1)nc(-c1cc3ccc(CNC(=O)C45CC(C4)C5)nc3n1CC1CC1)n2C1CC1)N1CC[C@H]2CC[C@@H]1C2,3,0,3,0.0,1.0,7.039,7.105,0.2,0.115,0.791,1.501,True
196,O=C(c1ccc2[nH]c(-c3cccn3Cc3ccccc3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,5.064,5.0,0.191,0.11,0.599,0.982,False
197,O=C(c1ccc2cc(-c3cc4ccc(C5CC5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.408,7.495,0.587,0.303,1.9,2.659,False
198,O=C(c1ccc2[nH]c(-c3cccc(=O)n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,3,0,3,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,False
199,O=C(c1ccc2[nH]c(-c3ccc(Cc4ccccc4)n3CC3CC3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,5.626,5.523,0.485,0.258,1.199,1.99,False
200,O=C(c1ccc2c(c1)nc(-c1cc3cccnc3n1CC1CC1)n2CC1CC1)N1CCCCC1,3,0,3,0.0,1.0,6.764,6.903,0.424,0.244,0.94,1.753,False
201,O=C(c1ccc2c(c1)nc(-c1cc3ccccc3n1CC1CC1)n2Cc1cn[nH]c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.253,7.319,0.498,0.255,2.391,3.443,False
202,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6c(c5)CCC6)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,6.789,6.712,0.254,0.143,0.943,1.697,False
203,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6ncccc6c5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.376,7.215,1.179,0.606,4.291,6.56,False
204,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]ccc6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,6.994,6.971,0.351,0.176,1.329,1.585,False
205,O=C(c1ccc2[nH]c(-c3cnc(-c4ccccc4)n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,3,0,3,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,False
206,O=C(c1ccc2c(c1)nc(-c1cc3ccc(CNC(=O)C45CC(C4)C5)nc3n1CC1CC1)n2C1CC1)N1CC[C@@H]2CC[C@H]1C2,3,0,3,0.0,1.0,7.039,7.105,0.2,0.115,0.791,1.501,False
207,O=C(c1ccc2c(c1)nc1n2Cc2cccc(c2)-c2ccccc2CCCCn2c-1cc1cccnc12)N1CC2CCC1C2,3,0,3,0.0,1.0,7.186,7.229,0.292,0.151,1.289,1.789,False
208,O=C(/C=C/c1ccc(=O)[nH]c1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,3,0,3,0.0,1.0,5.234,4.939,0.885,0.511,1.203,2.406,False
209,,3,0,3,0.0,1.0,3.546,3.0,3.638,1.88,0.0,0.0,False
210,O=C(/C=C/c1cncnc1)C1C(=O)NC2NCCCC2C1c1ccccc1,3,0,3,0.0,1.0,4.678,4.939,0.784,0.453,1.801,2.702,True
211,O=C1NCCN1c1ccccc1-c1ccc2cc(-c3cc4ccc(C(=O)N5CC6CCC5C6)cn4n3)n(CC3CC3)c2n1,3,0,3,0.0,1.0,7.122,7.222,0.301,0.174,1.062,1.665,False
212,O=C(/C=C/c1cncnc1)c1c(-c2ccccc2)c2cccnc2[nH]c1=O,3,0,3,0.0,1.0,4.678,4.939,0.784,0.453,2.039,3.138,False
213,O=C(CNC(=O)c1ccc2nonc2c1)NCc1ccccc1,3,0,3,0.0,1.0,5.678,5.693,0.081,0.042,0.261,0.36,False
214,O=C(NCCc1ccccc1)c1ccccc1,3,0,3,0.0,1.0,3.339,3.509,0.509,0.294,1.214,2.173,False
215,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4Cc4ccco4)nc3cc21,3,0,3,0.0,1.0,6.768,6.523,0.737,0.425,2.743,4.817,False
216,O=C(Cn1cccn1)NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4[nH]3)n(CC3CC3)c2n1,2,0,1,0.0,1.0,7.191,7.191,0.31,0.219,1.767,1.767,False
217,O=C(CNC(=O)c1cc2c([nH]c3ccccc32)c(-c2nc3ccccc3[nH]2)n1)NCc1ccccc1,2,0,1,0.0,1.0,5.016,5.016,0.032,0.022,0.134,0.134,False
218,O=C(CNC(=O)c1c[nH]c2ccccc12)NCc1ccccc1,2,0,1,0.0,1.0,6.073,6.073,0.164,0.116,0.951,0.951,False
